Crypto Name,Price,TimeStamp
Bitcoin,"60,899.85",2024-08-11 00:10:26.515734
Bitcoin,"60,899.85",2024-08-11 00:10:57.195685
Bitcoin,"60,899.85",2024-08-11 00:11:28.046343
Bitcoin,"60,920.11",2024-08-11 00:11:58.734601
